"text","links","permalink","username","date","photo0","photo1","photo2","photo3"
"#stayhome #Masks4All Map is GPS of those not social distancing. April 3rd. ","","https://twitter.com/Julianyc422Shaw/status/1246576919291645952","Julianyc422Shaw","2020-04-04 23:14:32+00:00","https://pbs.twimg.com/media/EUy6po8UwAArMzA.jpg","https://pbs.twimg.com/media/EUy6uJEUwAAW0X2.jpg","https://pbs.twimg.com/media/EUy6xNtU0AA3tnS.jpg","https://pbs.twimg.com/media/EUy62qmU0AAOV_8.jpg"
"Blue Man Group (of one). Let’s see those masks, people. Love you guys. #BeSafe #Masks4All ","","https://twitter.com/KevinMcGeever/status/1246576881002065920","KevinMcGeever","2020-04-04 23:14:23+00:00","https://pbs.twimg.com/media/EUy7DK3XgAIgPBp.jpg","","",""
"In the absence of #Masks4All what protects is social (physical) distancing. The rest is Warden Hodges hysteria.","","https://twitter.com/stephendarkins/status/1246575479093633031","stephendarkins","2020-04-04 23:08:49+00:00","https://pbs.twimg.com/media/EUxB60cXkAAnlpl.jpg","","",""
"In all honesty, wearing a mask feels weird and embarrassing, but #Masks4All is about throwing away ego to reduce the spread of #COVID19. My mom made this, and she’s making/donating them to hospitals. We can all be heroes in this. She’s certainly mine.","","https://twitter.com/adamlikesai/status/1246575332389519365","adamlikesai","2020-04-04 23:08:14+00:00","https://pbs.twimg.com/media/EUy5pBcX0AUAPun.jpg","","",""
"Excited to share this item from my #etsy shop: Face Mask Small Kids, Kids Face Mask Washable, Face Mask Cover for Kids, Mask Cover, Kids Unisex Mouth Mask, Reusable https://etsy.me/34i4BEE #CoronavirusPandemic #Masks4All ","https://etsy.me/34i4BEE","https://twitter.com/QuirkItHandmade/status/1246575016382287872","QuirkItHandmade","2020-04-04 23:06:58+00:00","https://pbs.twimg.com/media/EUy5XjtXgAA-ubi.jpg","","",""
"Cucumbers are ALL GONE at Safeway . I wanted a salad. Nope ! Cmon Ladies, this is insane ! BTW, I saw yesterday on here that Amazon’s still got #Dildos . #QuarantineLife #Masks4All #MAGA #KAG https://twitter.com/trumpgirlonfire/status/1246509913959849984","https://twitter.com/trumpgirlonfire/status/1246509913959849984","https://twitter.com/AIRBORNEFISTR/status/1246574702945914882","AIRBORNEFISTR","2020-04-04 23:05:44+00:00","https://pbs.twimg.com/media/EUy5FckUUAAQzhI.jpg","","",""
"Right?!? Great Stephen King book. If you read The Stand right now, you'll be mad that we don't at least have some MAGIC to go with this plague! @realDonaldTrump #TrumpPressConference #TrumpOwnEveryDeath #WWE #NBA #MLB #Masks4All #test #PPEshortage #DemocratsAreDestroyingAmerica","","https://twitter.com/TinaLMcCall1/status/1246574610491023360","TinaLMcCall1","2020-04-04 23:05:22+00:00","https://pbs.twimg.com/media/EUyzFbTXQAA2jkk.jpg","","",""
"Ready #coloradomaskproject #Masks4All #stayhomelistentodeathmetal","","https://twitter.com/MetalWalden/status/1246574005865164800","MetalWalden","2020-04-04 23:02:57+00:00","https://pbs.twimg.com/media/EUy4cSSUMAEgjuG.jpg","","",""
"One mask sewn! #notthebestnottheworsrt #DoYourPart #StayHomeSaveLives #COVID19 #CoronavirusPandemic #CoronavirusUSA #Masks4All #MasculinitySaturday I can sew! *don’t mind the #QuarantineLife hair or beard sticking out ","","https://twitter.com/TheDad419/status/1246572957335519234","TheDad419","2020-04-04 22:58:47+00:00","https://pbs.twimg.com/media/EUy3fyMWAAQHNeI.jpg","","",""
"The image was made referencing this study: https://bmjopen.bmj.com/content/bmjopen/5/4/e006577.full.pdf Knowledge saves lives. #Masks4All #COVID2019 #Coronavirustruth #CoronavirusUSA","https://bmjopen.bmj.com/content/bmjopen/5/4/e006577.full.pdf","https://twitter.com/swankfrank/status/1246572919154782210","swankfrank","2020-04-04 22:58:38+00:00","https://pbs.twimg.com/media/EUy3IRkXkAIGgDv.jpg","","",""
"Im getting faster. New pattern. I think i like this one better. It uses less fabric. #Masks4All ","","https://twitter.com/kathrynholiday/status/1246571788563361792","kathrynholiday","2020-04-04 22:54:09+00:00","https://pbs.twimg.com/media/EUy2bWJXsAI2AcM.jpg","https://pbs.twimg.com/media/EUy2bXNWkAQinev.jpg","https://pbs.twimg.com/media/EUy2bZ6XkAYVZLB.jpg","https://pbs.twimg.com/media/EUy2bZ6XkAc1DxV.jpg"
"I was looking at face masks on Etsy... until I was reminded of this... and know it’s not the same. But I don’t know... my heart still hurts for what is to come. #Masks4All ? ","","https://twitter.com/LendMeYourEar15/status/1246571707026092032","LendMeYourEar15","2020-04-04 22:53:49+00:00","https://pbs.twimg.com/media/EUy2XAaWoAAFM-M.jpg","","",""
"Tip- if you have a lot of a neutral color and not much of a decorative color, you can do your inside prep in the neutral color and conserve your pretty thread for top stitching, as it will not be seen since it's on the inside #MakeMasks #Masks4All #millionmaskchallenge #MasksNow","","https://twitter.com/EndTimesSewing/status/1246569884580012032","EndTimesSewing","2020-04-04 22:46:35+00:00","https://pbs.twimg.com/media/EUy0sq2XgAE3vjR.jpg","","",""
"#masks4all #Masksforall Numbers don't lie. Make one, wear one, give one.","","https://twitter.com/craigoverby/status/1246569668111822848","craigoverby","2020-04-04 22:45:43+00:00","https://pbs.twimg.com/media/EUvWfKTU4AAMqPq.jpg","","",""
"@SCOTUSblog @FBI #StayHome #Masks4All From Les Miserable: One Day More 'The Time is Now The Day is Here ","https://youtu.be/ydpmzU_i2hg","https://twitter.com/Julianyc422Shaw/status/1246569525987819520","Julianyc422Shaw","2020-04-04 22:45:09+00:00","https://pbs.twimg.com/media/EUs0G-RX0AAyQFw.jpg","","",""
"#Masksforall #masks4all Numbers don't lie. Make one, wear one, give one.","","https://twitter.com/craigoverby/status/1246569129579966464","craigoverby","2020-04-04 22:43:35+00:00","https://pbs.twimg.com/media/EUyzsWBXYAI1KCd.jpg","","",""
"As you wish #Masks4All ","","https://twitter.com/AmorVincetOmnia/status/1246569080057929732","AmorVincetOmnia","2020-04-04 22:43:23+00:00","https://pbs.twimg.com/media/EUyz-FNWkAEl6aA.jpg","","",""
"Woofin gitty up and hands in the air. Got my new ""Gator Shield"" Antimicrobial Face Mask Protection eBay better than a Hanes maybe better than N95 masks. High tech Nano silver embedded micro fiber with non woven filter material in between. Dang comfortable #COVID2019 #Masks4All ","","https://twitter.com/GregAnswers/status/1246568706131574785","GregAnswers","2020-04-04 22:41:54+00:00","https://pbs.twimg.com/media/EUyzn12WAAAqVzM.jpg","","",""
"Replying to @MichelleObama #StayHome #Masks4All From Les Miserable: One Day More Face with medical maskFlag of United StatesFlexed biceps 'The Time is Now The Day is Here ","https://youtu.be/ydpmzU_i2hg","https://twitter.com/Julianyc422Shaw/status/1246568658433761280","Julianyc422Shaw","2020-04-04 22:41:42+00:00","https://pbs.twimg.com/media/EUs0G-RX0AAyQFw.jpg","","",""
