"text","links","permalink","username","date","photo0","photo1","photo2","photo3"
"#covid19 Eine Kompetente Analyse. https://www.youtube.com/watch?v=3z0gnXgK8Do #Masks4All #StopCOVID19 #Coronavirus #CoronaInfoCH @BAG_OFSP_UFSP","https://www.youtube.com/watch?v=3z0gnXgK8Do","https://twitter.com/WernerBechtel/status/1246547639824515073","WernerBechtel","2020-04-04 21:18:11+00:00","""https://pbs.twimg.com/media/EUyfzClXsAESbW1.jpg""","""https://pbs.twimg.com/media/EUyf0D-XQAE-TOp.jpg""","",""
"Wieder ein bisschen geschafft #Maskeauf #Masks4All ","","https://twitter.com/Accral/status/1246486623535194120","Accral","2020-04-04 17:15:44+00:00","""https://pbs.twimg.com/media/EUxo-GFXsAE247m.jpg""","","",""
"STUDIE: MNS REDUZIERT SAISONALE CORONAVIREN IN TRÖPFCHEN UND AEROSOLEN https://www.tal-mi-or.de/news/studie-mns-reduziert-saisonale-coronaviren-in-troepfchen-und-aerosolen [Fotograf: Heinz Hirndorf, Quelle: Bundesarchiv/ Wikimedia Commons, Lizenz: CC BY-SA 3.0 de, Kolorierung: Robert Züblin] #COVID2019 #Mundschutz #Maskeauf #MNS #Masks4All #Maske","https://www.tal-mi-or.de/news/studie-mns-reduziert-saisonale-coronaviren-in-troepfchen-und-aerosolen","https://twitter.com/talmior/status/1246482150427418630","talmior","2020-04-04 16:57:57+00:00","""https://pbs.twimg.com/media/EUxk53wWkAEPXC5.jpg""","","",""
"#Masks4All Kaiser Permanente pattern ","","https://twitter.com/MargeEllen/status/1246449559540097025","MargeEllen","2020-04-04 14:48:27+00:00","""https://pbs.twimg.com/media/EUxHPEiU0AAH4hQ.jpg""","","",""
"#Maskeauf &amp; #masks4all. Warum? Wegen #Solidarität &amp; #coronajustice. Denn: wir sitzen *nicht* alle im selben Boot, sind *nicht* alle gleich (bedroht). Danke @canislupusb für das Foto, mit einer meiner Lieblings-#Masken, &amp; my fav #panties :)","","https://twitter.com/MuellerTadzio/status/1246362777997979648","MuellerTadzio","2020-04-04 09:03:37+00:00","""https://pbs.twimg.com/media/EUv4UtVXYAA1shS.jpg""","","",""
"#Masks4All #coronadeutschland #COVID19deutschland #Coronavirusgermany #COVID2019 #COVID19 #coronavirus #CoronaVirusDE DIE WELT ATMET AUF WHO erklärt drei Monate nach Einführung der globalen Maskenpflicht sämtliche durch Tröpfcheninfektion verbreitete Krankheiten als ausgerottet.","","https://twitter.com/OliverBlank_Bln/status/1246342844991799297","OliverBlank_Bln","2020-04-04 07:44:24+00:00","""https://pbs.twimg.com/media/EUvmMLKXsAIzLBN.jpg""","","",""
"#Masks4All #Mask4All #maskeauf #masksforall #mask #Masks #Maske #Atemschutzmaske #Atemschutzmasken Desinfektionsmethoden für Atemschutzmasken Methode 1 - 75 ° C Heißluft (30 Minuten) max. 20 Zyklen Methode 2 - UV (254 nm, 8 W, 30 Minuten) max. 10 Zyklen https://stanfordmedicine.app.box.com/v/covid19-PPE-1-2","https://stanfordmedicine.app.box.com/v/covid19-PPE-1-2","https://twitter.com/OliverBlank_Bln/status/1246209753895841797","OliverBlank_Bln","2020-04-03 22:55:33+00:00","""https://pbs.twimg.com/media/EUttDy7XgAg5SmD.jpg""","","",""
"hmmm... Ich meine, Tragepflicht würde ja niemandem schaden, ob es erwiesen ist oder nicht. Oder? @BAG_OFSP_UFSP Flache Kurve haben sie noch nicht, aber es sieht doch etwas anders aus... #Masks4All https://twitter.com/nowthisnews/status/1246186461948342272","https://twitter.com/nowthisnews/status/1246186461948342272","https://twitter.com/eyedraw/status/1246195945022390272","eyedraw","2020-04-03 22:00:41+00:00","""https://pbs.twimg.com/media/EUtgUDoWoAI-8v5.png""","","",""
"Die Wut in der Charité-Belegschaft wächst #verdi #COVID19 #ffp2 #ffp3 #Masks4All #ChariteBerlin https://t1p.de/v5aw","https://t1p.de/v5aw","https://twitter.com/PWeispfenning/status/1246191770112835585","PWeispfenning","2020-04-03 21:44:05+00:00","""https://pbs.twimg.com/media/EUtczC8XkAAoxu5.png""","","",""
"Die preisgünstigste Maske der Welt: Modell Melitta! Was man braucht: 1 Kaffeefilter 2 Gummiringerl Tixoband für Lochverstärkung Arbeitszeit: 2 Minuten #coronavirus #COVID2019 #StayHomeSaveLives #maskeauf #Masks4All #Masken #Maskenpflicht #","","https://twitter.com/boooeser_Wooolf/status/1246178303117086720","boooeser_Wooolf","2020-04-03 20:50:34+00:00","""https://pbs.twimg.com/media/EUtQiP5XYAAILgr.jpg""","""https://pbs.twimg.com/media/EUtQi5KWoAYB8Hf.jpg""","""https://pbs.twimg.com/media/EUtQjjfXsAA_DMK.jpg""",""
"Österreich übt sich im Maskenbasteln. Der Kreativität sind keine Grenzen gesetzt. Steuerbegünstigt ist das Maskenmodell ""sanitary pad"", das sich für sportliche Aktivitäten eignet: Always Ultra Ladies Cup #COVID2019 #coronavirus #BleibtZuhause #Maskenpflicht #Masks4All ","","https://twitter.com/boooeser_Wooolf/status/1246151845074153474","boooeser_Wooolf","2020-04-03 19:05:26+00:00","""https://pbs.twimg.com/media/EUs4fTzWoAAEl1H.jpg""","""https://pbs.twimg.com/media/EUs4fftWoAQfYKf.jpg""","""https://pbs.twimg.com/media/EUs4fsvWkAI_CCZ.jpg""",""
